SN,filename,z,obsframe,phase,e_phase,dm15,e_dm15
2003iv,sn2003iv-20031023.35-fast.flm,0.0343,True,1.3676394700879677,0.2021149977662924,1.5273556598673326,0.046857107852381036
2004bg,sn2004bg-20040417.19-fast.flm,0.0208,True,3.7625510281972754,0.22230815049138106,1.024367881449764,0.01757732289233618
2005am,sn2005am-20050309.25-fast.flm,0.0084,True,1.1007536691794746,0.61,1.4909999999999999,0.061
2005eq,sn2005eq-20051107.38-fast.flm,0.029,True,26.103012633625447,0.6,0.7959999999999999,0.063
2006X,sn2006X-20060303.41-fast.flm,0.0052,True,11.34372709792503,0.5461412271729408,0.9712460534510872,0.038378992921295166
2006et,sn2006et-20060922.37-fast.flm,0.0224,True,6.386932707361221,0.61,0.8370000000000001,0.061
2006lf,sn2006lf-20061116.39-fast.flm,0.0132,True,10.224261889342936,0.16950955778317126,1.4589343536493011,0.03166822529343749
2007af,sn2007af-20070325.35-fast.flm,0.0054,True,9.896558583645403,0.6,1.193,0.061
2007bm,sn2007bm-20070423.23-fast.flm,0.0062,True,-11.721476843564163,0.15257,1.2244,0.013630000000000001
2007fs,sn2007fs-20070902.29-fast.flm,0.0173,True,50.711874569938836,0.41625,0.87864,0.0149
2007le,sn2007le-20071114.18-fast.flm,0.0068,True,18.9809296781889,0.61,0.9309999999999999,0.061
2008Z,sn2008Z-20080416.16-fast.flm,0.021,True,56.23765826563154,0.21374249784593768,1.0204750901962183,0.043137188975040985
2007nq,SN07nq_071030_g01_NTT_EM.dat,0.04503,False,4.133852616865962,0.62,1.507,0.064
2005ke,SN05ke_051125_b01_DUP_MS.dat,0.00488,False,0.22888305089672434,0.61,1.736,0.061
2007S,SN07S_070319_b01_DUP_BC.dat,0.013880000000000002,False,32.939124945637964,0.23662,0.83601,0.00525
2007ba,SN07ba_070409_b01_BAA_IM.dat,0.03851,False,1.6080731049450967,0.61,1.6680000000000001,0.062
2006hb,SN06hb_061007_b01_HIL_BC.dat,0.015340000000000001,False,15.62028508756654,0.2898764930379099,1.6933322706438276,0.01086722947927835
2009ab,SN09ab_090211_b01_BAA_IM.dat,0.011170000000000001,False,-10.107103652170046,0.6,1.2790000000000001,0.061
2007on,SN07on_080201_b01_DUP_BC.dat,0.006490000000000001,False,76.85123548185229,0.78,1.6480000000000001,0.061
2005ag,SN05ag_050315_b01_DUP_WF.dat,0.07976,False,28.626731866202395,0.81,0.917,0.062
2007le,SN07le_071021_b01_DUP_BC.dat,0.00672,False,-4.9566910361621925,0.61,0.9309999999999999,0.061
